Area,ISSCAAP,ASFIS Name,Location,Status
21,38,Leucoraja ocellata,USA - Georges Bank / Southern New England,U
21,38,Dipturus laevis,USA - Georges Bank / Southern New England,M
21,38,Rostroraja eglanteria,USA - Southern New England / Mid-Atlantic,M
21,38,Leucoraja erinacea,USA - Georges Bank / Southern New England,M
21,38,Leucoraja garmani,USA - Southern New England / Mid-Atlantic,M
21,38,Malacoraja senta,USA- Gulf of Maine,M
21,38,Amblyraja radiata,USA- Gulf of Maine,O
21,35,Clupea harengus,Canada - Herring Fishing Area 15 (4S),M
21,35,Clupea harengus,"Canada - NAFO 5Y, 5Z (weirs)",O
21,35,Clupea harengus,Canada southern Gulf of St. Lawrence (NAFO Div. 4T),M
21,35,Clupea harengus,Canada - 4VWX,O
21,35,Clupea harengus,Canada - West Coast of Newfoundland (NAFO Division 4R),M
21,35,Clupea harengus,Canada - Newfoundland east and south coast,M
21,35,Clupea harengus,Canada - Quebec North Shore (Division 4S),M
21,35,Clupea harengus,USA - - Northwestern Atlantic Coast,O
21,35,Brevoortia tyrannus,USA - Atlantic Coast,M
21,32,Gadus morhua,Canada - in NAFO Divisions 4X5Y,O
21,32,Gadus morhua,Canada - Spawning Aggregations in NAFO Division 5Z (Georges Bank),O
21,32,Gadus morhua,Canada - (NAFO Div. 4T and 4Vn (November to April)) and American Plaice (NAFO Div. 4T),O
21,32,Gadus morhua,"Canada - northern Gulf of St. Lawrence (3Pn, 4RS)",O
21,32,,Canada - NAFO Subdivision 3Ps,O
21,32,Brosme brosme,Canada - in NAFO Divisions 4VWX5Z,O
21,32,Melanogrammus aeglefinus,Canada - in NAFO Divisions 4X5Y,M
21,32,Melanogrammus aeglefinus,Canada - in NAFO Subdivision 3Ps,O
21,32,Melanogrammus aeglefinus,Canada - NAFO Divisions 3LNO,O
21,32,,Canada - (NAFO Divisions 2J3KL),O
21,32,Pollachius virens,Canada - Western Component in NAFO Divisions 4Xopqrs5,M
21,32,Merluccius bilinearis,Canada - Scotian Shelf in NAFO Divisions 4VWX,M
21,32,Urophycis tenuis,Canada - from NAFO Div. 4T,O
21,32,Melanogrammus aeglefinus,USA - Georges Bank,M
21,32,Melanogrammus aeglefinus,USA - Gulf of Maine,U
21,32,Merluccius bilinearis,USA - Gulf of Maine / Georges Bank,U
21,32,Merluccius bilinearis,USA - Southern Georges Bank / Mid-Atlantic,M
21,32,Pollachius virens,USA - Gulf of Maine / Northern Georges Bank,U
21,32,Urophycis tenuis,USA - Gulf of Maine / Georges Bank,M
21,32,Gadus ogac,Greenland - Inshore,M
21,32,Gadus ogac,Greenland - Offshore,O
21,32,,High Seas - in Flemish Cap (NAFO Div. 3M),M
21,31,Hippoglossoides platessoides,Canada - (NAFO Div. 4T),O
21,31,Hippoglossoides platessoides,Canada - in NAFO Subarea 2 + Div. 3K,O
21,31,Hippoglossoides platessoides,Canada - NAFO Subdivision 3Ps,O
21,31,Hippoglossus hippoglossus,Canada - on the Scotian Shelf and Southern Grand Banks in NAFO Divisions 3NOPs4VWX5Zc,M
21,31,Hippoglossus hippoglossus,Canada - Gulf of St. Lawrence (4RST),M
21,31,Reinhardtius hippoglossoides,Canada - Cumberland Sound,U
21,31,Reinhardtius hippoglossoides,Canada - NAFO 0A and 0B,M
21,31,Reinhardtius hippoglossoides,Canada - Gulf of St. Lawrence (4RST),M
21,31,Pseudopleuronectes americanus,"Canada- NAFO Div. 4T,",O
21,31,Glyptocephalus cynoglossus,Canada - NAFO Divs. 4RST and,O
21,31,Urophycis tenuis,Canada - NAFO Div. 4T,O
21,31,Glyptocephalus cynoglossus,Canada - 3NO,M
21,31,Glyptocephalus cynoglossus,Canada - in NAFO Divisions 2J3KL,O
21,31,Glyptocephalus cynoglossus,Canada - in NAFO Subdivision 3Ps,M
21,31,Glyptocephalus cynoglossus,Canada - NAFO Divs. 4RST,M
21,31,Limanda ferruginea,Canada - 3LNO,M
21,31,Limanda ferruginea,Canada - 5Z,O
21,31,Limanda ferruginea,Canada - of the southern Gulf of St. Lawrence (NAFO Div. 4T),O
21,31,Hippoglossoides platessoides,USA - Gulf of Maine / Georges Bank,M
21,31,Paralichthys dentatus,USA - Mid-Atlantic Coast,M
21,31,Scophthalmus aquosus,USA - Georges Bank,U
21,31,Scophthalmus aquosus,USA - Southern New England / Mid-Atlantic,M
21,31,Pseudopleuronectes americanus,USA - Georges Bank,M
21,31,Pseudopleuronectes americanus,USA - Southern New England / Mid-Atlantic,M
21,31,Limanda ferruginea,USA - Gulf of Maine / Georges Bank,U
21,31,Limanda ferruginea,USA - Cape Cod / Gulf of Maine,M
21,31,Limanda ferruginea,USA - Southern New England / Mid-Atlantic,O
21,31,Hippoglossoides platessoides,High Seas - in Division 3M,O
21,33,Myoxocephalus octodecemspinosus,Canada - St. Mary's Bay,M
21,33,Centropristis striata,USA - Mid-Atlantic Coast,U
21,33,Stenotomus chrysops,USA - Atlantic Coast,U
21,33,Zoarces americanus,USA - Northwestern Atlantic Coast,O
21,34,Sebastes fasciatus,Canada - Unit 3,M
21,34,Cyclopterus lumpus,Canada - in Canadian Waters,O
21,34,Lophius americanus,Canada - in NAFO Divisions 3LNO and Subdivision 3Ps,M
21,34,Sebastes mentella,Canada - in Units 1 and 2,M
21,34,Sebastes mentella,Canada - in NAFO SA 2 + Divs. 3K,O
21,34,Sebastes fasciatus,Canada - in Units 1 and 2,M
21,34,Sebastes mentella,Canada - Unit 3,M
21,34,Sebastes fasciatus,USA - Gulf of Maine / Georges Bank,M
21,34,Anarhichas lupus,USA - Gulf of Maine / Georges Bank,O
21,34,,USA - Southern Georges Bank / Mid-Atlantic,M
21,34,,USA - Mid-Atlantic Coast,M
21,34,Sebastes fasciatus,High Seas - in division 3M,M
21,34,Sebastes mentella,High Seas - in division 3M,M
21,37,Scomber scombrus,Canada - northern contingent,O
21,37,Mallotus villosus,Canada - 2J3KL,O-M
21,37,Mallotus villosus,Canada - Estuary and Gulf of St. Lawrence (Divisions 4RST),M
21,37,Mallotus villosus,Canada - in SA2 and Divs. 3KL,M
21,37,Scomber scombrus,USA - Gulf of Maine / Cape Hatteras,O
21,37,Pomatomus saltatrix,USA - Atlantic Coast,O
21,37,Stromateidae,USA - Gulf of Maine / Cape Hatteras,U
21,43,Homarus americanus,Canada - in Lobster Fishing Area 33,M
21,43,Homarus americanus,Canada - in Lobster Fishing Area 34,M
21,43,Homarus americanus,Canada - in Lobster Fishing Area 35,M
21,43,Homarus americanus,Canada - in Lobster Fishing Area 41 (4X +5Zc),M
21,43,Homarus americanus,Canada - in Lobster Fishing Areas 27-32,M
21,43,Homarus americanus,Canada - in Lobster Fishing Areas 35-38,M
21,43,Homarus americanus,Canada - in the Gaspé (LFAs 19-21),M
21,43,Homarus americanus,Canada - in the Magdalen Islands (LFA 22),M
21,43,Homarus americanus,"Canada - on the North Shore (LFAs 15, 16 and 18)",M
21,43,Homarus americanus,Canada - southern Gulf of St. Lawrence,M
21,43,Homarus americanus,Canada - in Newfoundland,M
21,43,Homarus americanus,USA - Gulf of Maine / Georges Bank,M
21,43,Homarus americanus,USA - Southern New England,O
21,45,,Canada - SFA 8-12,M
21,45,Pandalus borealis,Canada - SFA 7,O
21,45,Pandalus borealis,Canada - - SFA 1,M
21,45,Pandalus borealis,Canada - in the Eastern and Western Assessment Zones,M
21,45,Pandalus borealis,Canada - in Shrimp Fishing Areas 4-6,O-M
21,45,Pandalus montagui,Canada - in the Eastern and Western Assessment Zones,M
21,45,Pandalus borealis,Canada - Eastern Scotian Shelf (SFAs 13-15),M
21,45,Pandalus borealis,Canada - in the Estuary and Gulf of St. Lawrence,M
21,45,,Canada - Scotian Shelf (SFA 13-15),M
21,45,Pandalus montagui,Canada - in SFA 4,M
21,45,Pandalus montagui,Canada - in the Eastern and Western Assessment Zones,M
21,56,Mactromeris polynyma,Canada - on Banquereau and Grand Bank,M
21,56,Spisula solidissima,Canada - Îles-de-la-Madeleine,M
21,56,,Canada - in Québec coastal waters,M
21,56,Spisula polynyma,Canada - in Québec coastal waters,M
21,56,Spisula solidissima,USA - Mid-Atlantic Coast,M
21,56,Arctica islandica,USA - Atlantic Coast,M
21,42,Chionoecetes opilio,,M
21,42,Cancer irroratus,,M
21,23,Salmo salar,,O
27,35,Engraulis encrasicolus,in Atlantic Iberian waters,M
27,35,Engraulis encrasicolus,in Bay of Biscay,M
27,35,Clupea harengus,in central Baltic Sea,O
27,35,Clupea harengus,in Gulf of Bothnia,M
27,35,Clupea harengus,"in Skagerrak, Kattegat, and western Baltic",O
27,35,Clupea harengus,North Sea,M
27,35,Clupea harengus,"in Irish Sea, Celtic Sea, and southwest of Ireland",O
27,35,Clupea harengus,in west of Ireland and Scotland,M
27,35,Clupea harengus,Irish Sea,M
27,35,Clupea harengus,Norwegian,M
27,35,Clupea harengus,Gulf of Riga,M
27,35,Clupea harengus,Icelandic,M
27,35,Sardina pilchardus,in Bay of Biscay,M
27,35,Sardina pilchardus,in Cantabrian Sea and Atlantic Iberian waters,M
27,35,Sardina pilchardus,in southern Celtic Seas and the English Channel,M
27,35,Sprattus sprattus,in Baltic Sea,M
27,35,Sprattus sprattus,in English Channel,U
27,35,Sprattus sprattus,"in Skagerrak, Kattegat, and North Sea",M
27,32,Micromesistius poutassou,in Northeast Atlantic and adjacent waters,M
27,32,Gadus morhua,Western Baltic,O
27,32,Gadus morhua,Eastern Baltic,O
27,32,,Northeast Arctic,M
27,32,Gadus morhua,northern Norwegian coastal,O
27,32,Gadus morhua,southern Norwegian coastal,O
27,32,Gadus morhua,Faroe Bank,M
27,32,Gadus morhua,Faroe Plateau,O
27,32,Gadus morhua,Iceland,M
27,32,Gadus morhua,"North Sea, Eastern Channel, and Skagerrak",O
27,32,Gadus morhua,Western Channel and Celtic Sea,O
27,32,Gadus morhua,Irish Sea,O
27,32,Gadus morhua,in Kattegat,O
27,32,Gadus morhua,West of Scotland,O
27,32,Melanogrammus aeglefinus,Northeast Arctic,M
27,32,Melanogrammus aeglefinus,Faroe Islands,M
27,32,Melanogrammus aeglefinus,Iceland and E. Greenland,M
27,32,Melanogrammus aeglefinus,"North Sea, West Scotland & Skagerrak",M
27,32,Melanogrammus aeglefinus,Celtic seas,M
27,32,Melanogrammus aeglefinus,Irish Sea,U
27,32,Melanogrammus aeglefinus,Rockall,M
27,32,Merluccius merluccius,"Northern stock (Greater North Sea, Celtic Seas, and the northern Bay of Biscay)",M
27,32,Merluccius merluccius,Southern stock,M
27,32,Trisopterus esmarkii,North Sea and Skagerrak-Kattegat,M
27,32,Trisopterus esmarkii,in Division 6.a,U
27,32,Pollachius virens,Northeast Arctic,U
27,32,Pollachius virens,Faroes grounds,M
27,32,Pollachius virens,Iceland,M
27,32,Pollachius virens,"North Sea, Skagerrak, West of Scotland and Rockall saithe",M
27,32,Merlangius merlangus,in southern Celtic Seas and western English Channel,O
27,32,Merlangius merlangus,in North Sea and eastern English Channel,M
27,32,Merlangius merlangus,Irish Sea,O
27,32,Merlangius merlangus,Skagerrak – Kattegat,M
27,32,Merlangius merlangus,in Rockall,U
27,32,Merlangius merlangus,in West of Scotland,M
27,32,Merlangius merlangus,in Bay of Biscay and Atlantic Iberian waters,M
27,32,Molva dypterygia,in East Greenland and Iceland grounds,M
27,32,Molva dypterygia,in Northeast Atlantic,O
27,32,Molva dypterygia,in Celtic Seas and Faroes grounds,M
27,32,Molva molva,Northeast Arctic,M
27,32,Molva molva,Iceland grounds,M
27,32,Molva molva,Faroes grounds,M
27,32,Molva molva,Northeast Atlantic and Arctic Ocean,M
27,32,Pollachius pollachius,in Celtic Seas and the English Channel,O
27,32,Pollachius pollachius,in Bay of Biscay and Atlantic Iberian waters,M
27,32,Coryphaenoides rupestris,in Skagerrak and Kattegat,O
27,32,Brosme brosme,in Northeast Arctic,M
27,32,Brosme brosme,in Northeast Atlantic,M
27,32,Brosme brosme,in East Greenland and Iceland grounds,M
27,31,Platichthys solemdali,in northern central and northern Baltic Sea,M
27,31,,"in North Sea, Skagerrak and Kattegat",M
27,31,Platichthys flesus,in Belt Seas and the Sound,M
27,31,Platichthys spp.,in west of Bornholm and southwestern central Baltic,M
27,31,Platichthys spp.,in east of Gotland and Gulf of Gdansk,M
27,31,Reinhardtius hippoglossoides,Northeast Arctic,M
27,31,Reinhardtius hippoglossoides,,M
27,31,Lepidorhombus boscii,southern Bay of Biscay and Atlantic Iberian waters East,M
27,31,Lepidorhombus whiffiagonis,"west and southwest of Ireland, Bay of Biscay",M
27,31,Lepidorhombus whiffiagonis,in Cantabrian Sea and Atlantic Iberian waters,M
27,31,Lepidorhombus spp.,"in northern North Sea, West of Scotland",U
27,31,Lepidorhombus whiffiagonis,Rockall,M
27,31,Scophthalmus maximus,in North Sea,M
27,31,Scophthalmus maximus,in Skagerrak and Kattegat,M
27,31,,in Bay of Biscay,M
27,31,,in Bay of Biscay/Iberian,M
27,31,,in Celtic Sea,M
27,31,Solea solea,in Eastern Channel,O
27,31,,in Irish Sea,M
27,31,,in North Sea,M
27,31,,"in Skagerrak and Kattegat, western Baltic Sea",M
27,31,,in Western Channel,M
27,31,,Celtic Sea,M
27,31,Pleuronectes platessa,West of Ireland,O
27,31,,Southwest of Ireland,M
27,31,,North Sea,M
27,31,,Eastern Channel,O
27,31,,Western Channel,M
27,31,,Irish Sea,M
27,31,,in Bay of Biscay,M
27,31,,in Baltic Sea,U
27,31,,in Kettegat,U
27,31,,in Iceland grounds,M
27,31,Microstomus kitt,"in North Sea, Skagerrak and Kattegat, eastern English Channel",M
27,31,Limanda limanda,in Baltic Sea,M
27,31,Limanda limanda,"in North Sea, Skagerrak and Kattegat",M
27,31,Glyptocephalus cynoglossus),"in North Sea, Skagerrak and Kattegat, eastern English Channel",M
27,31,Scophthalmus rhombus,"in North Sea, Skagerrak and Kattegat, English Channel",M
27,23,Salmo salar,Northern North-East Atlantic Commission Salmon,M
27,23,Salmo salar,Northern North-East Atlantic Commission Salmon,M
