"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDEX_TYPE.Name","COICOP_1999.Name","TYPE_OF_TRANSFORMATION.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.STA:CPI(1.0.0)","ABW.CPI._T.IX.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Consumer price index (CPI)","All Items","Index","Annual","Units","73.76125","76.2675","79.01925","83.2804166666667","90.739","88.8013333333333","90.64675","94.5593333333333","95.1526666666667","92.8955833333333","93.2870833333333","93.7299764460227","92.8571666666667","91.9023333333333","95.23475","99.2893333333333","",""
"IMF.STA:CPI(1.0.0)","AFG.CPI._T.IX.A","OBS_VALUE","Afghanistan, Islamic Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","","54.5664650281285","58.2685795318929","63.326624823651","80.0566731563464","74.6038841851815","76.2291577964382","85.2273892232992","90.7170667350174","97.4172222531853","101.97049935906","101.295751219497","105.736447508106","110.997841859789","111.69285390219","114.264439471841","",""
"IMF.STA:CPI(1.0.0)","AGO.CPI._T.IX.A","OBS_VALUE","Angola","Consumer price index (CPI)","All Items","Index","Annual","Units","8.505917951717098","10.45832500695269","11.84982713022641","13.30160839843543","14.9610943341171","17.0152950650531","19.47734981228051","22.10337725274796","24.37514135131072","26.51474599286455","28.44512219371382","31.1064399057095","40.65437968718775","52.7874678620376","63.14908718469092","73.93555380870768","90.4021396927385","113.6845733308229"
"IMF.STA:CPI(1.0.0)","AIA.CPI._T.IX.A","OBS_VALUE","Anguilla, United Kingdom-British Overseas Territory","Consumer price index (CPI)","All Items","Index","Annual","Units","78.26648860398862","81.87240064102565","88.78211253561253","92.70957086894587","99.61751602564102","98.94085541310542","101.0225","105.795","107.285","107.4425","107.17","106.1275","105.573687","106.94","107.3425","108.2175","107.705","109.64"
"IMF.STA:CPI(1.0.0)","ALB.CPI._T.IX.A","OBS_VALUE","Albania","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","75.78333333333335","78.3","80.075","82.97855709985538","85.82399409157561","87.5675880766163","89.26431587904425","90.71563318771068","92.43575946166823","93.61471442488715","95.47452175715895","97.41080199053062","98.78535684543844","100.3865554742699","102.4359185260122"
"IMF.STA:CPI(1.0.0)","ARE.CPI._T.IX.A","OBS_VALUE","United Arab Emirates","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","86.49490803018224","87.84579689906126","88.61706831529655","89.39454714735675","89.98657943165006","90.9774381826888","93.11201329945278","96.90164066051248","98.46901315628251","100.40572689363","103.4868109587132","101.4883966618076","99.37804371489035","99.55685993193225"
"IMF.STA:CPI(1.0.0)","ARG.CPI._T.IX.A","OBS_VALUE","Argentina","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","","","","","","","","112.8871083333334","151.581675","232.7510916666666","330.5416833333332","490.5548583333335"
"IMF.STA:CPI(1.0.0)","ARM.CPI._T.IX.A","OBS_VALUE","Armenia, Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","99.57134412528939","107.1885599948376","109.9304648803734","116.295073591944","119.7621887262112","124.2313437749925","122.4876232431082","123.675205998157","126.7921103666974","128.6222867826256","130.1804631836869","139.5337163507703"
"IMF.STA:CPI(1.0.0)","ATG.CPI._T.IX.A","OBS_VALUE","Antigua and Barbuda","Consumer price index (CPI)","All Items","Index","Annual","Units","76.6938380069077","78.30345144071686","79.7033490930609","80.8319904354757","85.1434123131174","84.67498731975942","87.52855590174622","90.55419897108905","93.6121060068111","94.60392423254355","95.63457871410284","96.56127152621792","96.08866416684782","98.42600928676664","99.61416666666668","101.04","101.6725","103.77"
"IMF.STA:CPI(1.0.0)","AUS.CPI._T.IX.A","OBS_VALUE","Australia","Consumer price index (CPI)","All Items","Index","Annual","Units","80.8","82.975","85.925","87.925","91.75","93.375","96.1","99.275","101.025","103.5","106.075","107.675","109.05","111.175","113.3","115.125","116.1","119.425"
"IMF.STA:CPI(1.0.0)","AUT.CPI._T.IX.A","OBS_VALUE","Austria","Consumer price index (CPI)","All Items","Index","Annual","Units","74.60938","76.3247525","77.42501083333335","79.10401499999998","81.64796083333331","82.06135166666668","83.5495625","86.295485","88.44051083333332","90.20945916666665","91.65805333333331","92.47982583333335","93.30436833333334","95.24628333333332","97.14966583333332","98.63692583333332","100.0","102.7666666666667"
"IMF.STA:CPI(1.0.0)","AZE.CPI._T.IX.A","OBS_VALUE","Azerbaijan, Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","","61.02034247362152","66.10268092842333","77.14166666666668","93.225","94.58333333333331","100.0","107.8583333333334","109.0083333333333","111.6416666666667","113.175","117.7333333333333","132.3833333333334","149.5083333333334","152.9","156.891564325","161.221472575","171.9431827583333"
"IMF.STA:CPI(1.0.0)","BDI.CPI._T.IX.A","OBS_VALUE","Burundi","Consumer price index (CPI)","All Items","Index","Annual","Units","32.94795730759652","37.31424364682295","38.33867635555098","41.56374990939985","51.7081939982596","57.16621907944888","60.8781736976803","66.71770921293329","78.83434261058308","85.09217967565326","88.8407900057283","93.76673543904025","98.9779995559317","114.8664778768896","111.6333333333334","110.8666666666666","118.9833333333333","128.9833333333333"
"IMF.STA:CPI(1.0.0)","BEL.CPI._T.IX.A","OBS_VALUE","Belgium","Consumer price index (CPI)","All Items","Index","Annual","Units","81.7025","83.975","85.47916666666669","87.0375","90.945","90.89666666666668","92.88666666666668","96.1675","98.89833333333333","99.99916666666668","100.3391666666667","100.9025","102.8941666666667","105.0816666666667","107.2391666666667","108.78","109.5858333333333","112.26"
"IMF.STA:CPI(1.0.0)","BEN.CPI._T.IX.A","OBS_VALUE","Benin","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","88.56009196425245","89.3536544665701","91.32643601438782","93.79612118515205","100.1223717877404","100.55178551563","99.99999999999982","100.218785923536","99.42374012682151","99.4667556643303","100.3810249564281","101.1166666666666","104.1731415833334","105.9790242733091"
"IMF.STA:CPI(1.0.0)","BFA.CPI._T.IX.A","OBS_VALUE","Burkina Faso","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","94.34070546071862","96.9442893520701","100.6457700650759","101.182955295671","100.9218126945204","101.6533333333333","102.1016666666667","103.6158333333334","105.6425","102.2266666666666","104.1530668004353","107.9583333333333"
"IMF.STA:CPI(1.0.0)","BGD.CPI._T.IX.A","OBS_VALUE","Bangladesh","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","48.09668793132442","53.57738495529918","56.90856112623175","61.19400706062615","65.4724710579777","69.52801938871617","73.36146462513788","77.54458680639247","81.8433651111511","86.4200431412378","91.33827239319461","96.40357723077832"
