"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDEX_TYPE.Name","COICOP_1999.Name","TYPE_OF_TRANSFORMATION.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.STA:CPI(1.0.0)","ABW.CPI.CP01.IX.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","74.24925","77.0331666666667","81.0208333333333","92.0969166666667","102.37825","107.107","104.656666666667","109.146583333333","112.054083333333","112.2545","114.667583333333","117.160721097841","116.912666666667","124.931083333333","139.228833333333","157.07725","",""
"IMF.STA:CPI(1.0.0)","AFG.CPI.CP01.IX.A","OBS_VALUE","Afghanistan, Islamic Republic of","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","52.0237102595753","55.2806920041475","62.0995680202287","87.6031052508499","75.9058344525821","75.6926154268071","83.7698620352888","87.7343889438272","94.3779338386498","101.679791252288","100.821893365486","106.53801604295","113.930398014792","112.676031527264","116.928527339734","",""
"IMF.STA:CPI(1.0.0)","AGO.CPI.CP01.IX.A","OBS_VALUE","Angola","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","","","","","","30.18879116006898","40.29625395602222","51.53094334175958","59.70732432491308","69.59032661243728","88.6100562121083","117.1145057069192"
"IMF.STA:CPI(1.0.0)","AIA.CPI.CP01.IX.A","OBS_VALUE","Anguilla, United Kingdom-British Overseas Territory","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","100.705","106.2075","109.0475","110.95","112.8525","112.1425","111.8280425","113.1","114.22","116.8475","117.445","121.225"
"IMF.STA:CPI(1.0.0)","ALB.CPI.CP01.IX.A","OBS_VALUE","Albania","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","62.39166666666668","65.65","68.85833333333332","72.43494094104815","75.60802527085438","77.38759383381262","80.6700458803016","82.44107469169899","85.97380502664159","88.77398064337746","92.23964971049205","94.71152847541552","97.47719950839942","100.990995888348","104.9302194880495"
"IMF.STA:CPI(1.0.0)","ARE.CPI.CP01.IX.A","OBS_VALUE","United Arab Emirates","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(1.0.0)","ARG.CPI.CP01.IX.A","OBS_VALUE","Argentina","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","","","","","","","","111.6830416666667","148.2411583333333","234.7589666666667","345.00895","516.9814833333332"
"IMF.STA:CPI(1.0.0)","ARM.CPI.CP01.IX.A","OBS_VALUE","Armenia, Republic of","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","99.23585037030885","111.4446107199034","113.6610316744046","120.2645959920801","122.3392902472485","126.1089587896912","121.9600793920723","126.9376725234585","129.9052903236772","132.3394883759899","132.7002413335219","147.5800571209866"
"IMF.STA:CPI(1.0.0)","ATG.CPI.CP01.IX.A","OBS_VALUE","Antigua and Barbuda","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","","","","","","","","","","101.0483333333334","103.2083333333333","104.4391666666667"
"IMF.STA:CPI(1.0.0)","AUS.CPI.CP01.IX.A","OBS_VALUE","Australia","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","75.780985","77.225245","84.833715","86.238935","89.90566","92.9194575","93.97796","99.3668625","95.69317","95.90372","98.435285","99.00092","99.239245","99.30983","99.702245","102.431775","106.566525","107.45215"
"IMF.STA:CPI(1.0.0)","AUT.CPI.CP01.IX.A","OBS_VALUE","Austria","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","69.63423416666669","71.08570999999998","72.394655","75.42713666666666","80.17724083333331","80.34307833333335","80.72806416666668","84.17482833333335","86.88710416666665","89.89551083333332","91.65883","92.41573083333331","93.09344583333332","95.29602083333332","96.74386750000002","97.72963583333335","100.0083333333333","100.7916666666667"
"IMF.STA:CPI(1.0.0)","AZE.CPI.CP01.IX.A","OBS_VALUE","Azerbaijan, Republic of","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","55.75515336352598","62.662469857108","73.22947585163648","94.64259500362068","93.0406689765652","100.0","110.6051440025797","111.345273367728","113.5994477199111","114.3689981547688","119.8084186346988","136.2388740998409","159.7207435918733","162.8907206838075","168.2574781907335","175.9681680102654","190.3236580508966"
"IMF.STA:CPI(1.0.0)","BDI.CPI.CP01.IX.A","OBS_VALUE","Burundi","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","30.57776420858592","36.02796755845525","36.21743583498672","39.4424143338275","52.93901230073585","58.7998789299969","62.44626908740722","68.16193489533562","77.4965979951307","84.85721294678035","86.8130876189601","91.83710207442752","98.42858546331615","122.0124738948445","108.6","105.175","117.9","130.15"
"IMF.STA:CPI(1.0.0)","BEL.CPI.CP01.IX.A","OBS_VALUE","Belgium","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","77.41621000000002","78.78289083333335","80.79666666666665","83.95333333333332","89.05416666666667","89.80833333333335","91.29999999999998","93.78416666666668","96.69166666666665","100.0","99.6241666666667","100.8216666666667","103.0808333333334","104.38","106.6341666666667","107.4591666666667","110.5558333333334","110.12"
"IMF.STA:CPI(1.0.0)","BEN.CPI.CP01.IX.A","OBS_VALUE","Benin","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","82.93512987915045","85.37991387692792","88.83844978469295","93.8602583692186","98.26364772885195","100.7806639811092","99.9965272954584","100.4132518405341","99.95346575913392","99.76524517294138","101.033123813493","100.3833333333333","103.3666666666667","109.4838536201663"
"IMF.STA:CPI(1.0.0)","BFA.CPI.CP01.IX.A","OBS_VALUE","Burkina Faso","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","","","","","","103.1541666666666","104.1583333333333","105.5333333333333","109.06","102.0891666666666","105.875","113.0975"
"IMF.STA:CPI(1.0.0)","BGD.CPI.CP01.IX.A","OBS_VALUE","Bangladesh","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","","53.89540612285868","55.7194546249149","60.1383494375535","64.89922322671126","68.8281770380628","71.93118873971223","77.09133430264939","81.87910849827507","86.4317532151436","91.42152953711685","96.2683351802695"
"IMF.STA:CPI(1.0.0)","BGR.CPI.CP01.IX.A","OBS_VALUE","Bulgaria","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","3379.02153960433","3515.046709166482","3705.79365809084","4204.077755951442","4906.644704348675","4875.559524491892","4857.235163893968","5194.040931415395","5350.021012934252","5499.263969065315","5445.122470406002","5462.830133268472","5450.078364134022","5667.402527920428","5791.906934377142","6092.519241592525","6419.383650742795","6597.466114271955"
"IMF.STA:CPI(1.0.0)","BHR.CPI.CP01.IX.A","OBS_VALUE","Bahrain, Kingdom of","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","83.17438788287845","85.04705087683328","88.289282038433","90.3622616864851","92.94343180790098","95.20059167414932","96.4247488658075","97.39824499821152","99.45659124731685","101.8221118263774","105.4333333333334","105.35"
"IMF.STA:CPI(1.0.0)","BHS.CPI.CP01.IX.A","OBS_VALUE","Bahamas, The","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","","","","98.41333333333336","","106.4691666666666","","","107.8675","108.02","109.7741666666667","112.0625"
"IMF.STA:CPI(1.0.0)","BLR.CPI.CP01.IX.A","OBS_VALUE","Belarus, Republic of","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","7.978869844517835","8.51406185711677","9.372660433689916","11.21565982683808","12.81718204530887","13.96205973173436","23.02716557813739","36.31406820759978","40.62094893326112","47.48135382126318","53.36178527768612","59.08801242783158","63.25955797294108","65.79646627564259","69.97551628520365","72.96652539347268","79.98534428746468"
"IMF.STA:CPI(1.0.0)","BLZ.CPI.CP01.IX.A","OBS_VALUE","Belize","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","","","97.03025991063045","98.45118830976915","99.21928373103425","98.84050928602397","98.9135626759887","97.79446519231442","97.29067087499217","97.91507593111233","99.0188587944673","103.7739374215815"
"IMF.STA:CPI(1.0.0)","BOL.CPI.CP01.IX.A","OBS_VALUE","Bolivia","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","39.185","41.47916666666665","47.52583333333335","59.69666666666668","60.46166666666668","62.24416666666665","70.91999999999997","73.69916666666668","80.22","86.73583333333332","90.7375","95.73999999999998","98.94333333333336","101.4616666666667","104.8758473696167","104.1888181530417","104.8215538178"
"IMF.STA:CPI(1.0.0)","BRA.CPI.CP01.IX.A","OBS_VALUE","Brazil","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(1.0.0)","BRB.CPI.CP01.IX.A","OBS_VALUE","Barbados","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","","","","","58.60453569916978","60.24983324568935","65.21039480095781","69.25852506162698","70.35224584826236","74.56110679344815","",""
"IMF.STA:CPI(1.0.0)","BRN.CPI.CP01.IX.A","OBS_VALUE","Brunei Darussalam","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","99.9829575260897","99.99225061421838","99.99077950760342","100.096072524171","99.87132281339407","100.7739658333333","100.2570833333333","100.5338891666666","102.450555","101.7306741666667","104.2802141666667","106.7640025"
