"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","AGO.TXG_RPCH.A","OBS_VALUE","Angola","Exports of goods, Volume, Percent change","Annual","Units","13.226","30.262","9.97","22.12","10.307","-3.61","-3.425","-4.837","3.829","-0.752","-2.985","5.75","-0.816","-1.509","-9.585","-5.705","-6.428","-8.521"
"IMF.RES:WEO(4.0.0)","ALB.TXG_RPCH.A","OBS_VALUE","Albania","Exports of goods, Volume, Percent change","Annual","Units","24.013","2.948","5.279","19.999","-54.982","-15.604","60.692","12.221","23.237","26.686","-6.564","6.572","-0.129","-1.377","14.145","-8.415","-1.946","18.816"
"IMF.RES:WEO(4.0.0)","AUS.TXG_RPCH.A","OBS_VALUE","Australia","Exports of goods, Volume, Percent change","Annual","Units","4.157","3.018","1.989","1.77","4.068","3.369","7.468","0.415","7.299","6.24","6.905","5.527","7.269","2.051","4.62","1.723","-4.118","0.672"
"IMF.RES:WEO(4.0.0)","ARM.TXG_RPCH.A","OBS_VALUE","Armenia, Republic of","Exports of goods, Volume, Percent change","Annual","Units","-9.592","21.346","-18.917","3.534","-9.834","-21.72","26.472","7.686","11.561","12.758","8.006","10.945","20.443","16.834","10.376","23.23","-19.822","-3.21"
"IMF.RES:WEO(4.0.0)","BDI.TXG_RPCH.A","OBS_VALUE","Burundi","Exports of goods, Volume, Percent change","Annual","Units","-11.377","2.817","-19.662","15.41","-11.431","0.728","13.6","3.31","14.582","-7.051","34.751","-2.843","19.527","31.509","15.477","-4.677","-21.629","-5.557"
"IMF.RES:WEO(4.0.0)","AZE.TXG_RPCH.A","OBS_VALUE","Azerbaijan, Republic of","Exports of goods, Volume, Percent change","Annual","Units","10.888","47.849","42.638","47.642","7.587","5.215","-1.901","0.17","-5.59","-1.584","-4.105","-1.934","-1.57","-5.122","8.208","5.694","-10.904","6.488"
"IMF.RES:WEO(4.0.0)","BEN.TXG_RPCH.A","OBS_VALUE","Benin","Exports of goods, Volume, Percent change","Annual","Units","-12.6","7.063","20.556","45.783","6.963","3.288","-3.146","-16.474","19.597","32.189","20.563","-4.566","23.89","5.031","0.766","-13.621","5.658","-1.965"
"IMF.RES:WEO(4.0.0)","BFA.TXG_RPCH.A","OBS_VALUE","Burkina Faso","Exports of goods, Volume, Percent change","Annual","Units","22.043","18.757","10.303","2.634","7.468","4.357","52.259","25.425","12.472","-1.539","12.12","6.408","12.493","21.194","5.874","0.249","0.153","7.754"
"IMF.RES:WEO(4.0.0)","BGD.TXG_RPCH.A","OBS_VALUE","Bangladesh","Exports of goods, Volume, Percent change","Annual","Units","8.654","9.512","18.899","12.084","10.722","12.019","2.16","33.251","3.609","14.084","12.632","6.222","14.911","1.612","4.515","8.615","-16.206","7.811"
"IMF.RES:WEO(4.0.0)","BHS.TXG_RPCH.A","OBS_VALUE","Bahamas, The","Exports of goods, Volume, Percent change","Annual","Units","6.158","11.193","23.374","12.46","12.37","-23.71","-3.955","12.56","16.175","-1.75","-13.817","-34.682","-3.186","16.814","11.934","8.707","-35.727","38.951"
"IMF.RES:WEO(4.0.0)","BGR.TXG_RPCH.A","OBS_VALUE","Bulgaria","Exports of goods, Volume, Percent change","Annual","Units","39.497","11.569","8.644","42.525","3.473","-12.111","22.889","19.856","3.02","11.828","1.357","6.726","7.946","8.269","0.111","3.18","-4.405","7.497"
"IMF.RES:WEO(4.0.0)","BLR.TXG_RPCH.A","OBS_VALUE","Belarus, Republic of","Exports of goods, Volume, Percent change","Annual","Units","15.2","-1.2","8.3","5.2","1.5","-11.5","2.8","33.0","11.0","-17.4","2.2","2.6","0.3","8.401","5.3","-0.2","0.1","10.3"
"IMF.RES:WEO(4.0.0)","BIH.TXG_RPCH.A","OBS_VALUE","Bosnia and Herzegovina","Exports of goods, Volume, Percent change","Annual","Units","17.797","7.693","31.181","-32.605","9.739","0.951","21.551","10.834","0.101","11.41","4.383","5.4","9.902","15.991","6.251","-2.117","-5.494","17.131"
"IMF.RES:WEO(4.0.0)","BLZ.TXG_RPCH.A","OBS_VALUE","Belize","Exports of goods, Volume, Percent change","Annual","Units","0.553","2.65","22.312","-10.293","10.535","0.888","7.564","11.465","5.597","9.244","-9.409","-10.326","-19.098","-9.762","4.411","-4.566","-18.157","32.935"
"IMF.RES:WEO(4.0.0)","BRA.TXG_RPCH.A","OBS_VALUE","Brazil","Exports of goods, Volume, Percent change","Annual","Units","17.193","9.864","3.383","5.484","-2.19","-10.424","8.544","2.966","-0.314","3.058","-2.102","8.798","4.032","7.223","4.36","-2.033","0.033","4.091"
"IMF.RES:WEO(4.0.0)","BWA.TXG_RPCH.A","OBS_VALUE","Botswana","Exports of goods, Volume, Percent change","Annual","Units","8.306","20.152","-0.166","9.367","-5.692","-33.362","12.443","-3.064","20.793","40.436","-0.23","-8.135","-8.949","-6.273","14.068","-10.394","-14.749","33.823"
"IMF.RES:WEO(4.0.0)","BRN.TXG_RPCH.A","OBS_VALUE","Brunei Darussalam","Exports of goods, Volume, Percent change","Annual","Units","-12.389","-13.002","1.533","-8.768","2.32","5.484","-4.656","6.962","3.067","-7.307","1.529","4.303","-7.561","-7.09","-8.626","24.303","33.322","1.526"
