COUNTRY.Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,"921,956,000","945,528,000","939,899,000","947,855,000","956,165,000","829,684,000","952,236,000","1,008,875,000","1,008,236,000","1,008,367,000","1,113,559,000","1,078,156,000","1,049,644,000","1,112,029,000","1,120,939,000","1,089,841,429","862,882,690","926,858,865"
Austria,"44,245,000","20,233,000","18,624,000","29,571,000","40,337,000","46,056,000","52,584,000","81,963,000","93,579,000","100,354,000","88,663,000","76,443,000","80,600,000","81,597,000","93,310,000","96,332,877","102,232,600","121,085,025"
Belgium,"882,910,000","975,101,000","1,158,142,000","1,213,593,000","1,284,684,000","1,079,841,000","1,140,616,000","1,298,704,000","1,075,762,000","1,106,353,000","1,205,317,000","1,069,004,000","1,148,541,000","1,285,343,000","1,181,491,000","1,090,367,201","1,117,593,453","1,229,660,773"
Canada,"3,506,676,000","3,614,782,000","3,682,836,000","3,732,408,000","3,729,834,000","3,262,738,000","3,875,003,000","4,224,530,000","4,249,776,000","4,391,103,000","4,560,256,000","4,659,554,000","4,947,013,000","5,295,436,000","5,345,335,000","5,612,642,013","4,797,027,858","6,983,528,777"
Chile,"2,564,538,000","3,042,750,000","3,638,936,000","3,774,414,000","4,026,806,000","3,702,645,000","3,510,784,000","4,630,913,000","4,489,928,000","5,173,331,000","6,047,557,000","4,963,976,000","5,292,426,000","6,161,316,000","6,932,195,000","6,675,177,103","6,057,604,745","6,907,982,616"
Colombia,"160,232,000","181,180,000","165,444,000","189,232,000","240,585,000","209,084,000","179,903,000","188,791,000","201,383,000","192,129,000","219,141,000","167,515,000","161,744,000","135,535,000","149,465,000","153,639,762","160,778,775","163,351,478"
Costa Rica,"116,433,000","122,224,000","105,977,000","107,913,000","127,860,000","116,874,000","106,679,000","132,369,000","182,345,000","157,152,000","145,878,000","139,069,000","118,207,000","131,442,000","134,888,000","125,281,561","110,605,889","127,560,664"
Czechia,"55,370,000","64,309,000","71,243,000","89,055,000","108,095,000","86,673,000","101,569,000","131,006,000","127,253,000","150,418,000","171,652,000","159,589,000","187,886,000","208,547,000","191,975,000","195,825,266","207,419,685","247,341,442"
Denmark,"3,576,980,000","3,694,745,000","3,999,146,000","4,144,577,000","4,619,526,000","4,002,236,000","4,208,403,000","4,506,888,000","4,159,505,000","4,682,363,000","4,777,606,000","4,283,325,000","4,710,353,000","4,894,491,000","5,066,814,000","4,860,505,956","4,784,828,777","5,210,461,018"
Estonia,"117,296,000","129,056,000","132,941,000","137,744,000","149,189,000","140,770,000","184,690,000","215,555,000","247,264,000","255,582,000","244,658,000","190,874,000","151,406,000","159,412,000","175,883,000","224,396,679","200,287,998","223,022,921"
