"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","ABW.PPPPC.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","32195.255","32231.958","33002.045","34683.8","35727.164","31534.686","30974.164","32438.671","32221.701","34361.014","34040.116","33794.213","34439.965","37524.982","39287.129","39110.415","29876.108","37813.246"
"IMF.RES:WEO(4.0.0)","AGO.PPPPC.A","OBS_VALUE","Angola","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","4868.928","5531.821","6152.564","6885.535","7495.186","7413.311","7610.721","7749.77","8249.101","8476.286","8699.296","8532.432","8168.812","8013.784","8284.622","8578.72","7832.731","8869.641"
"IMF.RES:WEO(4.0.0)","ALB.PPPPC.A","OBS_VALUE","Albania","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","5994.12","6557.21","7203.713","7901.059","8723.954","9133.533","9634.94","10111.205","10462.732","10767.136","11172.166","11559.657","12075.634","12770.998","13498.153","14618.304","14437.1","16262.599"
"IMF.RES:WEO(4.0.0)","ARG.PPPPC.A","OBS_VALUE","Argentina","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","14308.616","15911.199","17549.655","19456.17","20433.475","19155.3","21008.87","22469.136","22396.505","23065.977","22627.919","23210.096","22701.938","23514.667","24498.379","23535.013","22302.151","26015.237"
"IMF.RES:WEO(4.0.0)","ARM.PPPPC.A","OBS_VALUE","Armenia, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","5090.337","6030.714","7060.631","8276.59","9052.415","7845.766","8125.805","8678.444","9464.282","9920.372","10438.908","10859.605","10976.02","12065.632","12877.363","14974.555","14706.317","15921.705"
"IMF.RES:WEO(4.0.0)","ATG.PPPPC.A","OBS_VALUE","Antigua and Barbuda","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","16280.935","17697.314","20345.765","22597.388","22771.223","19938.947","18379.632","18154.143","18844.398","18773.037","19232.748","19395.123","20071.823","20616.24","23420.494","25082.283","20932.99","23875.701"
"IMF.RES:WEO(4.0.0)","AZE.PPPPC.A","OBS_VALUE","Azerbaijan, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","4531.744","5839.001","7993.593","10128.882","11288.319","12210.793","12868.986","12983.566","13335.168","14168.526","14625.584","14740.405","14257.54","14380.188","15347.341","16798.121","15344.671","20335.335"
"IMF.RES:WEO(4.0.0)","AUT.PPPPC.A","OBS_VALUE","Austria","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","38469.466","40290.758","42746.121","45391.159","46792.628","45200.459","46481.15","48666.894","49686.59","50241.569","51052.937","51533.26","52388.368","54068.015","56655.538","60719.04","58715.289","63590.151"
"IMF.RES:WEO(4.0.0)","BDI.PPPPC.A","OBS_VALUE","Burundi","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","623.349","667.936","704.67","726.937","752.143","760.538","784.134","807.552","833.333","862.512","888.104","836.3","813.16","806.067","798.297","828.282","835.666","886.893"
"IMF.RES:WEO(4.0.0)","BEL.PPPPC.A","OBS_VALUE","Belgium","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","36097.485","37913.689","39830.274","42120.525","42791.131","41846.679","43219.579","44203.312","45050.958","45771.595","47122.552","48286.997","49041.109","50546.354","52661.794","56786.89","55809.1","62292.264"
"IMF.RES:WEO(4.0.0)","BHS.PPPPC.A","OBS_VALUE","Bahamas, The","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","29904.354","31423.405","32729.592","33618.529","33001.406","31379.366","31810.397","32338.255","33618.129","32878.606","33725.629","34029.174","33674.995","34875.399","35705.02","36264.3","26574.634","29490.156"
"IMF.RES:WEO(4.0.0)","BGD.PPPPC.A","OBS_VALUE","Bangladesh","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","2060.144","2230.258","2419.611","2628.146","2807.52","2934.397","3100.476","3330.677","3572.447","3807.441","4061.872","4319.664","4620.214","4959.53","5563.893","6116.365","6705.448","7485.821"
