"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","AGO.TMG_RPCH.A","OBS_VALUE","Angola","Imports of goods, Volume, Percent change","Annual","Units","-3.648","37.794","-0.228","42.678","36.339","19.019","-31.699","8.761","20.491","12.212","10.014","-17.807","-35.021","6.402","5.81","-7.906","-33.048","7.298"
"IMF.RES:WEO(4.0.0)","ALB.TMG_RPCH.A","OBS_VALUE","Albania","Imports of goods, Volume, Percent change","Annual","Units","21.067","9.912","7.134","21.24","-0.65","-2.59","-11.014","3.808","-5.195","-1.306","6.113","2.159","9.381","4.39","4.234","3.459","-5.092","18.143"
"IMF.RES:WEO(4.0.0)","ARM.TMG_RPCH.A","OBS_VALUE","Armenia, Republic of","Imports of goods, Volume, Percent change","Annual","Units","-2.198","22.644","12.83","36.84","20.004","-21.329","2.664","-1.809","3.472","8.558","0.877","-16.574","6.902","28.097","14.502","13.127","-17.31","-0.451"
"IMF.RES:WEO(4.0.0)","AUS.TMG_RPCH.A","OBS_VALUE","Australia","Imports of goods, Volume, Percent change","Annual","Units","14.721","9.66","9.504","11.904","10.428","-9.905","15.594","10.074","5.997","-3.409","0.027","2.773","0.302","7.83","4.262","-1.242","-2.088","9.745"
"IMF.RES:WEO(4.0.0)","BDI.TMG_RPCH.A","OBS_VALUE","Burundi","Imports of goods, Volume, Percent change","Annual","Units","1.893","56.443","17.182","69.992","-31.955","3.528","86.968","-19.509","10.992","-0.547","-13.909","-28.341","7.374","14.988","17.291","44.459","-15.569","3.429"
"IMF.RES:WEO(4.0.0)","AZE.TMG_RPCH.A","OBS_VALUE","Azerbaijan, Republic of","Imports of goods, Volume, Percent change","Annual","Units","-4.698","8.22","29.958","6.361","6.803","-3.569","-9.41","32.533","4.079","9.546","-12.292","24.962","13.055","-5.264","13.5","4.253","-5.913","-17.52"
"IMF.RES:WEO(4.0.0)","BFA.TMG_RPCH.A","OBS_VALUE","Burkina Faso","Imports of goods, Volume, Percent change","Annual","Units","-3.475","-0.183","4.296","12.083","11.303","-6.509","8.034","10.619","14.98","15.946","-6.763","7.411","2.939","14.278","4.381","-2.658","1.404","14.605"
"IMF.RES:WEO(4.0.0)","BEN.TMG_RPCH.A","OBS_VALUE","Benin","Imports of goods, Volume, Percent change","Annual","Units","-2.565","-10.626","9.646","45.897","4.544","7.925","-13.92","-11.559","5.886","34.75","29.09","0.439","5.054","8.322","13.562","-10.822","-1.481","3.382"
"IMF.RES:WEO(4.0.0)","BGR.TMG_RPCH.A","OBS_VALUE","Bulgaria","Imports of goods, Volume, Percent change","Annual","Units","27.755","19.756","16.803","26.048","4.338","-23.233","9.535","11.947","4.585","4.994","1.526","6.064","4.416","7.01","7.452","5.344","-2.934","9.859"
"IMF.RES:WEO(4.0.0)","BGD.TMG_RPCH.A","OBS_VALUE","Bangladesh","Imports of goods, Volume, Percent change","Annual","Units","3.499","11.622","7.579","12.162","14.992","10.094","0.552","41.729","0.077","3.607","10.284","11.514","12.999","6.348","19.313","2.473","-2.448","6.065"
"IMF.RES:WEO(4.0.0)","BHS.TMG_RPCH.A","OBS_VALUE","Bahamas, The","Imports of goods, Volume, Percent change","Annual","Units","-3.477","11.297","8.894","1.144","-7.011","-8.347","-9.391","-0.262","14.314","-4.808","8.197","0.837","1.535","8.668","-0.213","-6.606","-25.342","27.024"
"IMF.RES:WEO(4.0.0)","BLR.TMG_RPCH.A","OBS_VALUE","Belarus, Republic of","Imports of goods, Volume, Percent change","Annual","Units","21.4","0.7","21.7","7.2","14.3","-12.6","8.0","15.9","9.4","-7.2","2.6","-11.4","-2.6","13.341","5.0","4.7","-9.1","5.1"
"IMF.RES:WEO(4.0.0)","BIH.TMG_RPCH.A","OBS_VALUE","Bosnia and Herzegovina","Imports of goods, Volume, Percent change","Annual","Units","2.282","0.937","2.126","0.906","10.467","-16.439","3.402","4.066","0.401","0.183","7.906","-0.02","7.181","8.353","3.502","0.739","-12.018","19.889"
"IMF.RES:WEO(4.0.0)","BLZ.TMG_RPCH.A","OBS_VALUE","Belize","Imports of goods, Volume, Percent change","Annual","Units","-11.052","10.594","2.718","1.509","17.2","-20.074","3.631","14.286","6.65","5.742","6.041","8.868","-1.079","-8.125","4.418","4.26","-22.412","24.663"
"IMF.RES:WEO(4.0.0)","BRA.TMG_RPCH.A","OBS_VALUE","Brazil","Imports of goods, Volume, Percent change","Annual","Units","16.99","5.204","16.027","23.664","17.424","-17.463","37.121","8.597","-1.726","7.632","-2.38","-15.276","-11.087","10.155","14.0","4.612","-3.788","22.032"
