"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","ABW.LP.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Population, Number","Annual","Millions","0.095","0.098","0.099","0.1","0.101","0.102","0.102","0.103","0.104","0.106","0.107","0.108","0.109","0.109","0.109","0.109","0.109","0.108"
"IMF.RES:WEO(4.0.0)","AGO.LP.A","OBS_VALUE","Angola","Population, Number","Annual","Millions","18.771","19.451","20.162","20.91","21.692","22.508","23.364","24.259","25.188","26.147","27.128","28.128","29.155","30.209","31.274","32.354","33.428","34.504"
"IMF.RES:WEO(4.0.0)","ALB.LP.A","OBS_VALUE","Albania","Population, Number","Annual","Millions","3.027","3.011","2.993","2.97","2.947","2.928","2.913","2.905","2.9","2.895","2.889","2.881","2.876","2.873","2.866","2.854","2.838","2.812"
"IMF.RES:WEO(4.0.0)","AND.LP.A","OBS_VALUE","Andorra, Principality of","Population, Number","Annual","Millions","","","","","","","0.07","0.07","0.07","0.07","0.071","0.072","0.073","0.075","0.076","0.078","0.078","0.08"
"IMF.RES:WEO(4.0.0)","ARG.LP.A","OBS_VALUE","Argentina","Population, Number","Annual","Millions","38.226","38.592","38.971","39.356","39.746","40.134","40.788","41.261","41.733","42.203","42.67","43.132","43.59","44.045","44.495","44.939","45.377","45.809"
"IMF.RES:WEO(4.0.0)","ATG.LP.A","OBS_VALUE","Antigua and Barbuda","Population, Number","Annual","Millions","0.079","0.08","0.081","0.082","0.083","0.084","0.085","0.086","0.087","0.088","0.09","0.091","0.092","0.094","0.095","0.097","0.098","0.1"
"IMF.RES:WEO(4.0.0)","ARM.LP.A","OBS_VALUE","Armenia, Republic of","Population, Number","Annual","Millions","3.03","3.01","3.0","2.99","2.98","2.97","2.966","2.968","2.97","2.98","2.985","2.99","2.993","2.979","2.969","2.963","2.962","2.962"
"IMF.RES:WEO(4.0.0)","AUT.LP.A","OBS_VALUE","Austria","Population, Number","Annual","Millions","8.169","8.225","8.268","8.295","8.322","8.341","8.361","8.389","8.426","8.477","8.544","8.63","8.74","8.815","8.885","8.859","8.901","8.932"
"IMF.RES:WEO(4.0.0)","AZE.LP.A","OBS_VALUE","Azerbaijan, Republic of","Population, Number","Annual","Millions","8.349","8.447","8.553","8.666","8.779","8.922","8.997","9.111","9.235","9.356","9.477","9.593","9.705","9.81","9.898","9.951","9.974","10.026"
"IMF.RES:WEO(4.0.0)","BDI.LP.A","OBS_VALUE","Burundi","Population, Number","Annual","Millions","7.478","7.512","7.737","7.969","8.232","8.504","8.776","9.048","9.329","9.618","9.907","10.204","10.53","10.867","11.193","11.529","11.875","12.231"
"IMF.RES:WEO(4.0.0)","BEL.LP.A","OBS_VALUE","Belgium","Population, Number","Annual","Millions","10.396","10.446","10.511","10.585","10.667","10.753","10.84","11.001","11.076","11.138","11.181","11.237","11.311","11.352","11.399","11.456","11.522","11.555"
"IMF.RES:WEO(4.0.0)","BGD.LP.A","OBS_VALUE","Bangladesh","Population, Number","Annual","Millions","136.986","139.036","140.921","142.66","144.304","145.925","147.575","149.274","151.008","152.765","154.52","156.256","157.971","159.671","161.356","163.046","164.689","166.657"
"IMF.RES:WEO(4.0.0)","BHS.LP.A","OBS_VALUE","Bahamas, The","Population, Number","Annual","Millions","0.323","0.328","0.332","0.337","0.342","0.347","0.351","0.355","0.359","0.362","0.366","0.37","0.373","0.377","0.381","0.385","0.389","0.394"
"IMF.RES:WEO(4.0.0)","BLR.LP.A","OBS_VALUE","Belarus, Republic of","Population, Number","Annual","Millions","9.73","9.664","9.605","9.561","9.528","9.505","9.484","9.462","9.447","9.443","9.449","9.461","9.469","9.459","9.439","9.42","9.38","9.303"
"IMF.RES:WEO(4.0.0)","BIH.LP.A","OBS_VALUE","Bosnia and Herzegovina","Population, Number","Annual","Millions","3.763","3.766","3.768","3.762","3.754","3.736","3.704","3.66","3.605","3.531","3.526","3.518","3.511","3.504","3.496","3.491","3.487","3.481"
"IMF.RES:WEO(4.0.0)","BLZ.LP.A","OBS_VALUE","Belize","Population, Number","Annual","Millions","0.276","0.284","0.291","0.299","0.307","0.315","0.322","0.328","0.334","0.342","0.349","0.357","0.364","0.371","0.379","0.386","0.393","0.399"
"IMF.RES:WEO(4.0.0)","BOL.LP.A","OBS_VALUE","Bolivia","Population, Number","Annual","Millions","9.07","9.23","9.39","9.55","9.71","9.87","10.03","10.19","10.35","10.51","10.67","10.83","10.99","11.15","11.31","11.47","11.63","11.8"
"IMF.RES:WEO(4.0.0)","BRB.LP.A","OBS_VALUE","Barbados","Population, Number","Annual","Millions","0.273","0.274","0.275","0.276","0.277","0.278","0.28","0.281","0.282","0.283","0.283","0.284","0.285","0.286","0.286","0.287","0.288","0.289"
"IMF.RES:WEO(4.0.0)","CAF.LP.A","OBS_VALUE","Central African Republic","Population, Number","Annual","Millions","4.193","4.289","4.378","4.463","4.559","4.529","4.493","4.565","4.611","4.642","4.623","4.629","4.714","4.794","4.879","4.945","5.027","5.112"
"IMF.RES:WEO(4.0.0)","BWA.LP.A","OBS_VALUE","Botswana","Population, Number","Annual","Millions","1.859","1.893","1.929","1.967","2.007","2.049","2.092","2.134","2.175","2.217","2.26","2.305","2.352","2.402","2.451","2.5","2.546","2.588"
"IMF.RES:WEO(4.0.0)","CHL.LP.A","OBS_VALUE","Chile","Population, Number","Annual","Millions","16.022","16.183","16.348","16.518","16.698","16.881","17.064","17.254","17.443","17.612","17.788","17.971","18.167","18.419","18.751","19.107","19.458","19.678"
"IMF.RES:WEO(4.0.0)","CMR.LP.A","OBS_VALUE","Cameroon","Population, Number","Annual","Millions","17.259","17.733","18.224","18.73","19.253","19.79","20.341","20.906","21.485","22.077","22.682","23.298","23.927","24.566","25.216","25.876","26.546","27.224"
"IMF.RES:WEO(4.0.0)","CIV.LP.A","OBS_VALUE","Côte d'Ivoire","Population, Number","Annual","Millions","18.199","18.719","19.254","19.805","20.371","20.954","21.553","22.169","22.803","23.455","24.126","24.816","25.525","26.255","27.006","27.778","28.572","29.389"
"IMF.RES:WEO(4.0.0)","COL.LP.A","OBS_VALUE","Colombia","Population, Number","Annual","Millions","41.166","41.672","42.17","42.659","43.134","43.609","44.086","44.553","45.002","45.435","45.866","46.314","46.83","47.419","48.258","49.396","50.408","51.117"
"IMF.RES:WEO(4.0.0)","COG.LP.A","OBS_VALUE","Congo, Republic of","Population, Number","Annual","Millions","3.543","3.673","3.813","3.956","4.09","4.257","4.438","4.584","4.713","4.828","4.945","5.064","5.187","5.312","5.441","5.571","5.702","5.836"
"IMF.RES:WEO(4.0.0)","CYP.LP.A","OBS_VALUE","Cyprus","Population, Number","Annual","Millions","0.723","0.733","0.744","0.758","0.776","0.797","0.819","0.84","0.862","0.866","0.858","0.847","0.848","0.855","0.864","0.876","0.888","0.896"
"IMF.RES:WEO(4.0.0)","COM.LP.A","OBS_VALUE","Comoros, Union of the","Population, Number","Annual","Millions","0.581","0.593","0.605","0.617","0.629","0.642","0.656","0.67","0.685","0.699","0.715","0.73","0.746","0.762","0.776","0.791","0.806","0.822"
"IMF.RES:WEO(4.0.0)","CPV.LP.A","OBS_VALUE","Cabo Verde","Population, Number","Annual","Millions","0.445","0.451","0.457","0.463","0.468","0.473","0.478","0.481","0.483","0.486","0.489","0.491","0.493","0.496","0.498","0.5","0.502","0.504"
"IMF.RES:WEO(4.0.0)","DJI.LP.A","OBS_VALUE","Djibouti","Population, Number","Annual","Millions","0.772","0.783","0.795","0.805","0.816","0.828","0.84","0.854","0.868","0.883","0.899","0.914","0.929","0.944","0.959","0.974","0.988","1.002"
"IMF.RES:WEO(4.0.0)","DEU.LP.A","OBS_VALUE","Germany","Population, Number","Annual","Millions","81.457","81.337","81.174","80.993","80.765","80.483","80.285","80.276","80.427","80.646","80.983","81.687","82.349","82.657","82.906","83.093","83.161","83.196"
"IMF.RES:WEO(4.0.0)","DMA.LP.A","OBS_VALUE","Dominica","Population, Number","Annual","Millions","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.07","0.069","0.07","0.07","0.071","0.071","0.069","0.07","0.072","0.073","0.074"
"IMF.RES:WEO(4.0.0)","DNK.LP.A","OBS_VALUE","Denmark","Population, Number","Annual","Millions","5.398","5.411","5.427","5.447","5.476","5.511","5.535","5.561","5.581","5.603","5.627","5.66","5.707","5.749","5.781","5.806","5.823","5.84"
"IMF.RES:WEO(4.0.0)","DZA.LP.A","OBS_VALUE","Algeria","Population, Number","Annual","Millions","32.366","32.855","33.351","33.858","34.591","35.268","35.978","36.717","37.495","38.297","39.114","39.963","40.836","41.721","42.578","43.424","43.851","44.577"
"IMF.RES:WEO(4.0.0)","ECU.LP.A","OBS_VALUE","Ecuador","Population, Number","Annual","Millions","13.367","13.604","13.852","14.107","14.359","14.616","14.884","15.161","15.441","15.718","15.994","16.269","16.532","16.793","17.078","17.357","17.526","17.614"
"IMF.RES:WEO(4.0.0)","ERI.LP.A","OBS_VALUE","Eritrea, The State of","Population, Number","Annual","Millions","2.72","2.827","2.918","2.997","3.063","3.12","3.17","3.214","3.25","3.281","3.311","3.343","3.377","3.413","3.453","3.497","",""
"IMF.RES:WEO(4.0.0)","EST.LP.A","OBS_VALUE","Estonia, Republic of","Population, Number","Annual","Millions","1.363","1.355","1.347","1.341","1.337","1.335","1.331","1.327","1.323","1.318","1.315","1.315","1.316","1.317","1.322","1.327","1.33","1.331"
"IMF.RES:WEO(4.0.0)","ESP.LP.A","OBS_VALUE","Spain","Population, Number","Annual","Millions","42.859","43.663","44.361","45.236","45.983","46.368","46.562","46.736","46.766","46.593","46.455","46.41","46.45","46.533","46.729","47.105","47.356","47.331"
"IMF.RES:WEO(4.0.0)","ETH.LP.A","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Population, Number","Annual","Millions","66.521","68.25","70.025","72.421","74.879","76.826","78.824","80.7","82.7","84.8","87.0","89.1","91.2","93.4","95.5","97.6","99.7","101.9"
"IMF.RES:WEO(4.0.0)","FIN.LP.A","OBS_VALUE","Finland","Population, Number","Annual","Millions","5.22","5.237","5.256","5.277","5.3","5.326","5.351","5.375","5.401","5.427","5.451","5.472","5.487","5.503","5.513","5.518","5.525","5.534"
"IMF.RES:WEO(4.0.0)","FJI.LP.A","OBS_VALUE","Fiji, Republic of","Population, Number","Annual","Millions","0.821","0.827","0.83","0.837","0.838","0.843","0.848","0.852","0.857","0.86","0.864","0.868","0.871","0.885","0.89","0.896","0.901","0.906"
"IMF.RES:WEO(4.0.0)","FSM.LP.A","OBS_VALUE","Micronesia, Federated States of","Population, Number","Annual","Millions","0.106","0.106","0.105","0.104","0.104","0.103","0.103","0.104","0.104","0.104","0.103","0.103","0.102","0.101","0.1","0.098","0.097","0.096"
"IMF.RES:WEO(4.0.0)","GBR.LP.A","OBS_VALUE","United Kingdom","Population, Number","Annual","Millions","59.95","60.413","60.827","61.319","61.824","62.261","62.76","63.285","63.705","64.106","64.597","65.11","65.648","66.04","66.436","66.797","67.081","67.28"
"IMF.RES:WEO(4.0.0)","GAB.LP.A","OBS_VALUE","Gabon","Population, Number","Annual","Millions","1.33","1.364","1.398","1.44","1.494","1.551","1.61","1.671","1.735","1.803","1.868","1.93","1.98","2.025","2.053","2.08","2.108","2.135"
"IMF.RES:WEO(4.0.0)","GEO.LP.A","OBS_VALUE","Georgia","Population, Number","Annual","Millions","3.938","3.917","3.888","3.873","3.848","3.829","3.8","3.774","3.739","3.718","3.717","3.722","3.729","3.726","3.73","3.724","3.717","3.729"
"IMF.RES:WEO(4.0.0)","GIN.LP.A","OBS_VALUE","Guinea","Population, Number","Annual","Millions","9.38","9.576","9.799","10.047","10.315","10.593","10.876","11.162","11.451","11.745","12.044","12.345","12.654","12.97","13.294","13.627","13.967","14.317"
