"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","ALB.LUR.A","OBS_VALUE","Albania","Unemployment rate","Annual","Units","14.4","14.1","13.8","13.4","13.1","13.8","14.0","14.0","13.4","15.9","17.5","17.1","15.2","13.7","12.3","11.47","11.675","11.5"
"IMF.RES:WEO(4.0.0)","AND.LUR.A","OBS_VALUE","Andorra, Principality of","Unemployment rate","Annual","Units","","","","","","","3.0","3.675","5.95","6.225","5.3","3.875","3.3","2.35","1.775","2.075","2.925","3.275"
"IMF.RES:WEO(4.0.0)","ARM.LUR.A","OBS_VALUE","Armenia, Republic of","Unemployment rate","Annual","Units","31.6","31.2","27.8","28.7","16.4","18.7","19.0","18.4","17.3","16.2","17.6","18.5","18.0","17.8","19.0","18.3","18.2","15.5"
"IMF.RES:WEO(4.0.0)","AUT.LUR.A","OBS_VALUE","Austria","Unemployment rate","Annual","Units","5.867","6.025","5.592","5.2","4.442","5.675","5.208","4.883","5.233","5.35","6.042","6.158","6.475","5.925","5.225","4.808","5.475","6.167"
"IMF.RES:WEO(4.0.0)","AZE.LUR.A","OBS_VALUE","Azerbaijan, Republic of","Unemployment rate","Annual","Units","7.987","7.256","6.615","6.326","5.856","5.742","5.631","5.424","5.185","4.973","4.913","4.958","5.043","4.961","4.944","5.004","7.244","6.039"
"IMF.RES:WEO(4.0.0)","BEL.LUR.A","OBS_VALUE","Belgium","Unemployment rate","Annual","Units","8.383","8.475","8.267","7.492","6.967","7.992","8.383","7.225","7.642","8.55","8.65","8.65","7.842","7.108","5.975","5.375","5.567","6.267"
"IMF.RES:WEO(4.0.0)","BLZ.LUR.A","OBS_VALUE","Belize","Unemployment rate","Annual","Units","11.6","11.0","9.4","10.3","8.2","12.827","18.515","16.726","15.275","12.926","11.6","10.143","9.541","9.328","9.377","9.041","13.743","10.188"
"IMF.RES:WEO(4.0.0)","BLR.LUR.A","OBS_VALUE","Belarus, Republic of","Unemployment rate","Annual","Units","7.347","6.57","6.295","5.962","5.844","5.808","5.738","5.588","5.536","5.436","5.417","5.821","5.92","5.684","4.825","4.191","4.082","3.893"
"IMF.RES:WEO(4.0.0)","BIH.LUR.A","OBS_VALUE","Bosnia and Herzegovina","Unemployment rate","Annual","Units","31.1","31.1","31.1","29.0","23.4","24.1","27.2","27.6","28.0","27.5","27.5","27.7","25.4","20.5","18.4","15.7","15.9","17.355"
"IMF.RES:WEO(4.0.0)","BRA.LUR.A","OBS_VALUE","Brazil","Unemployment rate","Annual","Units","10.07","10.55","9.69","9.28","8.27","9.42","8.034","7.58","6.9","7.225","6.9","8.625","11.65","12.85","12.375","11.975","13.775","13.2"
